project;version;from;to;days;commits;commitsPerDay;accumulated_commits;committers;committers_weigth;changes;additions;deletions;changed_files;bugs;code_smells;cognitive_complexity;critical_violations;complexity;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;info_violations;violations;major_violations;minor_violations;open_issues;statements;;
sonarqube;8.1-SNAPSHOT;2019-12-05T21:05:12+0100;2019-12-17T16:05:06+0100;12;54;4.5;1999;11;0.0541;23766;13823;9943;950;55;3257;19069;97;46455;176;141;4182;0.9;701;3313;1243;1107;2194;78620;;
sonarqube;7.9.2-SNAPSHOT;2019-10-15T12:11:16+0200;2019-12-05T21:05:12+0100;52;143;2.75;1945;21;0.0165;48107;29810;18297;817;59;3928;19663;146;48293;195;161;4527;0.9;714;3990;1650;1258;2897;82286;;
sonarqube;8.0;2019-10-14T20:38:58+0200;2019-10-15T12:11:16+0200;1;4;4.0;1802;2;0.5;35;19;16;4;52;3333;19059;100;46242;164;140;3917;0.9;722;3385;1249;1151;2212;78261;;
sonarqube;8.0-SNAPSHOT;2019-06-28T20:39:51+0200;2019-10-14T20:38:58+0200;108;415;38.426;1798;32;0.0064;249861;82452;167409;4697;60;3337;19059;100;46242;164;140;3917;0.9;723;3397;1258;1153;2224;78261;;
sonarqube;7.9-SNAPSHOT;2019-06-15T20:37:39+0200;2019-06-28T20:39:51+0200;14;141;100.715;1383;24;0.0154;32178;22671;9507;631;56;3523;21641;65;48274;195;161;4527;0.9;720;3579;1533;1047;2360;82237;;
sonarqube;7.8-SNAPSHOT;2019-03-19T20:45:03+0100;2019-06-15T20:37:39+0200;88;506;5.75;1242;32;0.0051;139626;93951;45675;2196;56;3527;21298;65;47798;189;155;4499;0.9;720;3583;1547;1040;2348;81571;;
sonarqube;7.7-SNAPSHOT;2019-01-18T20:41:54+0100;2019-03-19T20:45:03+0100;61;238;39.017;736;24;0.0105;177201;142699;34502;1745;58;3066;20777;68;46578;186;150;4488;0.5;713;3124;1219;907;1954;79539;;
sonarqube;7.6-SNAPSHOT;2018-12-13T20:41:36+0100;2019-01-18T20:41:54+0100;37;255;68.919;498;17;0.0136;86626;43230;43396;2089;62;5876;20834;70;46744;196;157;4687;0.5;845;5943;1249;994;4664;79953;;
sonarqube;7.5-SNAPSHOT;2018-10-19T20:38:01+0200;2018-12-13T20:41:36+0100;56;243;43.393;243;20;0.0144;109551;51864;57687;1884;62;5848;20944;70;46871;199;160;4766;0.5;829;5915;1257;970;4558;80353;;
jmeter;5.3-SNAPSHOT;2019-11-25T19:37:57+0100;2020-03-01T10:45:41+0100;97;86;0.8866;207;6;0.0263;18538;9149;9389;341;75;2911;15380;719;20061;315;163;5569;2.8;314;2987;1196;608;2987;51386;;
jmeter;5.2.1-SNAPSHOT;2019-11-08T08:01:14+0100;2019-11-25T19:37:57+0100;18;31;17.223;121;5;0.0642;1535;934;601;156;75;2884;15384;714;20059;321;165;5646;2.8;311;2959;1180;605;2959;51386;;
jmeter;5.2-SNAPSHOT;2019-10-05T18:28:21+0200;2019-11-08T08:01:14+0100;34;90;26.471;90;8;0.0397;4131;2338;1793;225;75;2872;15382;714;20056;317;164;5592;2.8;311;2947;1174;599;2947;51379;;
jacoco;0.8.6-SNAPSHOT;2019-10-11T20:07:02+0200;2020-02-28T02:31:30+0100;140;15;0.1072;485;3;0.1264;3146;2306;840;341;0;121;1416;39;2474;20;14;397;1.3;4;121;32;38;115;5268;;
jacoco;0.8.5-SNAPSHOT;2019-05-10T03:06:02+0200;2019-10-11T20:07:02+0200;155;67;0.4323;470;5;0.0475;18526;10290;8236;665;0;189;1387;36;2439;20;14;397;1.3;4;189;89;52;183;5181;;
jacoco;0.8.4-SNAPSHOT;2019-01-23T02:06:20+0100;2019-05-10T03:06:02+0200;107;23;0.215;403;1;1.0;1145;826;319;66;0;188;1356;37;2420;20;14;421;1.4;4;188;86;53;182;5111;;
jacoco;0.8.3-SNAPSHOT;2018-08-21T18:03:44+0200;2019-01-23T02:06:20+0100;155;54;0.3484;380;6;0.034;8451;6043;2408;447;0;193;1353;38;2418;20;14;417;1.4;4;193;86;57;184;5103;;
jacoco;0.8.2-SNAPSHOT;2017-09-15T02:30:28+0200;2018-08-21T18:03:44+0200;341;99;0.2904;326;9;0.0139;17973;11998;5975;579;8;178;1266;36;2321;20;14;417;1.4;4;186;84;54;180;4831;;
jacoco;0.7.10-SNAPSHOT;2017-02-05T19:23:35+0100;2017-09-15T02:30:28+0200;222;50;0.2253;227;5;0.0386;8302;7706;596;139;6;163;1076;32;2122;15;11;328;1.2;4;171;88;39;167;4380;;
jacoco;0.7.9-SNAPSHOT;2016-12-10T00:13:11+0100;2017-02-05T19:23:35+0100;58;15;0.2587;177;3;0.1264;2302;1345;957;365;18;181;0;29;1962;7;5;162;0.7;5;200;67;91;200;3951;;
jacoco;0.7.8-SNAPSHOT;2016-06-06T16:34:16+0200;2016-12-10T00:13:11+0100;187;25;0.1337;162;5;0.0614;2174;1508;666;159;12;207;0;45;2256;7;5;162;0.7;5;220;77;91;220;3947;;
jacoco;0.7.7-SNAPSHOT;2016-02-18T16:32:24+0100;2016-06-06T16:34:16+0200;109;33;0.3028;137;2;0.4629;3868;2723;1145;132;14;315;0;18;2046;7;5;176;0.8;5;332;103;204;332;3758;;
jacoco;0.7.6-SNAPSHOT;2015-05-18T16:32:52+0200;2016-02-18T16:32:24+0100;277;43;0.1553;104;4;0.0706;3958;2737;1221;351;0;0;0;296;4519;46;24;2117;4.3;32;1050;374;339;1050;11258;;
jacoco;0.7.5-SNAPSHOT;2015-02-22T17:31:47+0100;2015-05-18T16:32:52+0200;85;16;0.1883;61;3;0.1479;749;534;215;55;0;0;0;102;4318;55;24;2077;4.3;32;1735;901;698;1735;11142;;
jacoco;0.7.4-SNAPSHOT;2015-02-15T17:33:15+0100;2015-02-22T17:31:47+0100;7;2;0.2858;45;1;1.0;196;99;97;31;0;0;0;53;4301;52;24;1892;3.9;8;1594;920;611;1594;10925;;
jacoco;0.7.3-SNAPSHOT;2014-09-07T18:48:54+0200;2015-02-15T17:33:15+0100;161;43;0.2671;43;4;0.1075;2627;1731;896;363;0;0;0;53;4301;52;24;1892;3.9;8;1597;923;611;1597;10925;;
Ant-Media-Server;2.0.0-SNAPSHOT;2020-01-12T13:25:41+0100;2020-03-01T16:51:00+0100;50;39;0.78;2110;6;0.1119;2003;1346;657;11;26;823;4101;146;4073;12;7;291;0.7;29;919;414;312;919;10020;;
Ant-Media-Server;1.9.1-SNAPSHOT;2019-11-27T13:29:22+0100;2020-01-12T13:25:41+0100;46;126;27.392;2071;7;0.0376;7221;5000;2221;48;26;845;3973;147;3959;10;7;251;0.7;29;941;422;323;941;9694;;
Ant-Media-Server;1.9.0-SNAPSHOT;2019-08-25T10:24:11+0200;2019-11-27T13:29:22+0100;95;195;20.527;1945;6;0.0222;30776;14426;16350;126;26;841;3956;147;3934;10;7;251;0.7;28;922;422;306;922;9599;;
